year,geo_id,geolocation,level,location,historical,hist_country,disastertype,disasterno,latitude,longitude,temperature,,,YearT,TempT
1960,7952,Chennai,2,Madras City,0,NA,flood,1960-0032,13.04849576,80.23437074,0,,,2024,1.28
1960,8935,Valsad,2,Maduri,0,NA,flood,1960-0032,20.41743299,73.12143584,0,,,2023,1.19
1961,8859,Uttar Pradesh,1,Uttar Pradesh,0,NA,flood,1961-0012,26.92542523,80.56098215,0.08,,,2022,0.9
1962,8005,Delhi,3,Delhi,0,NA,storm,1962-0007,28.64798149,77.10852932,0.05,,,2021,0.87
1962,8644,Punjab,1,Punjab,0,NA,storm,1962-0007,30.8418287,75.40846841,0.05,,,2020,1.02
1962,8419,Madhya Pradesh,1,MP,0,NA,storm,1962-0007,23.54151345,78.28963287,0.05,,,2019,0.99
1963,8645,Punjab,1,Punjab,0,NA,storm,1963-0019,30.8418287,75.40846841,0.07,,,2018,0.87
1963,8560,Odisha,1,Orissa,0,NA,storm,1963-0019,20.50542802,84.41805896,0.07,,,2017,0.94
1963,8860,Uttar Pradesh,1,Uttar Pradesh,0,NA,storm,1963-0019,26.92542523,80.56098215,0.07,,,2016,1.03
1964,8699,Rameswaram,3,Rameswaram,0,NA,storm,1964-0068,9.26175882,79.30099019,-0.17,,,2015,0.91
1964,29931,Punjab,1, Punjab,0,NA,flood,1964-0038,30.84146482,75.40878951,-0.17,,,2014,0.75
1964,29932,Bihar,1, Bihar,0,NA,flood,1964-0038,25.67965826,85.6048398,-0.17,,,2013,0.68
1964,29933,Assam,1,Assam,0,NA,flood,1964-0038,26.35676035,92.82876881,-0.17,,,2012,0.65
1964,29934,Andhra Pradesh,1,Andhra Pradesh,0,NA,flood,1964-0055,15.71260766,79.92713851,-0.17,,,2011,0.61
1964,41254,Rajasthan,1,Rajasthan,0,NA,drought,1964-9009,26.58342294,73.84797344,-0.17,,,2010,0.73
1964,41255,Mysore,2,Mysore,0,NA,drought,1964-9044,12.20217573,76.43608261,-0.17,,,2009,0.67
1966,7953,Chennai,2,Madras state,0,NA,storm,1966-0085,13.04849576,80.23437074,-0.03,,,2008,0.54
1966,29935,Manipur,1,Manipur,0,NA,flood,1966-0046,24.73897499,93.88254078,-0.03,,,2007,0.64
1966,29936,Assam,1, Assam,0,NA,flood,1966-0046,26.35676035,92.82876881,-0.03,,,2006,0.65
1967,8561,Odisha,1,Orissa,0,NA,storm,1967-0063,20.50542802,84.41805896,0.01,,,2005,0.69
1968,8695,Ramanathapuram,2,Ramanathapurum,0,NA,storm,1968-0084,9.439387677,78.68104303,-0.06,,,2004,0.56
1968,8815,Thanjavur,2,Thanjavur,0,NA,storm,1968-0084,10.65639586,79.22342874,-0.06,,,2003,0.63
1968,7772,Assam,1,Assam,0,NA,flood,1968-0051,26.35712666,92.82850571,-0.06,,,2002,0.62
1968,29937,Gujarat,1, Gujarat - ,0,NA,flood,1968-0055,22.6903222,71.5884337,-0.06,,,2001,0.55
1968,29938,Rajasthan,1,1,0,NA,flood,1968-0055,26.58342294,73.84797344,-0.06,,,2000,0.41
1968,29939,West Bengal,1, West Bengal,0,NA,flood,1968-0055,23.81595215,87.98089998,-0.06,,,1999,0.41
1968,29940,Assam,1, Assam,0,NA,flood,1968-0055,26.35676035,92.82876881,-0.06,,,1998,0.63
1969,8119,Guntur,2,Guntur,0,NA,storm,1969-0071,16.29023485,80.08194333,0.1,,,1997,0.49
1969,8376,Krishna,2,Krishna,0,NA,storm,1969-0071,16.55006848,80.79256277,0.1,,,1996,0.35
1969,7954,Chennai,2,Madras City,0,NA,storm,1969-0106,13.04849576,80.23437074,0.1,,,1995,0.48
1969,7692,Andhra Pradesh,1,Andhra Pradesh,0,NA,storm,1969-0109,15.71260766,79.92713851,0.1,,,1994,0.33
1970,7955,Chennai,2,Madras city,0,NA,storm,1970-0065,13.04849576,80.23437074,0.05,,,1993,0.27
1970,8079,Gujarat,1,Gujarat,0,NA,flood,1970-0105,22.6903222,71.5884337,0.05,,,1992,0.24
1970,8562,Odisha,1,Orissa,0,NA,flood,1970-0105,20.50542802,84.41805896,0.05,,,1991,0.42
1971,29942,Tezpur,3, Tezpur sub-divisions,0,NA,flood,1971-0037,26.78257766,92.92733398,-0.06,,,1990,0.45
1971,29945,Jorhat,2, Jorhat,0,NA,flood,1971-0037,26.79524644,94.27414916,-0.06,,,1989,0.28
1971,29946,Dhemaji,2, Dhemaji,0,NA,flood,1971-0037,27.5903576,94.78022274,-0.06,,,1988,0.4
1971,7892,Bihar,1,Bihar,0,NA,storm,1971-0112,25.67955598,85.60447908,-0.06,,,1987,0.34
1971,8861,Uttar Pradesh,1,Uttar Pradesh,0,NA,flood,1971-0052,26.92542523,80.56098215,-0.06,,,1986,0.22
1971,8954,West Bengal,1,West Bengal,0,NA,storm,1971-0112,23.81595215,87.98089998,-0.06,,,1985,0.16
1971,8563,Odisha,1,Orissa state,0,NA,storm,1971-0058,20.50542802,84.41805896,-0.06,,,1984,0.19
1971,29943,Lakhimpur Kheri,2, North Lakhimpur,0,NA,flood,1971-0037,28.12759651,80.65653925,-0.06,,,1983,0.35
1972,8761,Srinagar,2,Srinagar,0,NA,storm,1972-0058,34.12797077,74.90084917,0.06,,,1982,0.17
1972,7956,Chennai,2,Madras City,0,NA,storm,1972-0063,13.04849576,80.23437074,0.06,,,1981,0.35
1972,7693,Andhra Pradesh,1,Andhra Pradesh,0,NA,storm,1972-0051,15.71260766,79.92713851,0.06,,,1980,0.31
1972,8564,Odisha,1,Orissa,0,NA,storm,1972-0051,20.50542802,84.41805896,0.06,,,1979,0.2
1974,8018,Dhemaji,2,Dhemaji,0,NA,flood,1974-0129,27.58774856,94.77483408,-0.05,,,1978,0.11
1974,8028,Dhubri,2,Dhubri,0,NA,flood,1974-0129,26.10069773,90.02798848,-0.05,,,1977,0.2
1974,8239,Jorhat,2,Jorhat,0,NA,flood,1974-0129,26.79628642,94.27389983,-0.05,,,1976,-0.05
1974,8833,Tinsukia,2,Tinsukia,0,NA,flood,1974-0129,27.58449365,95.62433404,-0.05,,,1975,0.01
1974,7962,Chhatarpur,2,Nowgong,0,NA,flood,1974-0129,24.80209616,79.65747322,-0.05,,,1974,-0.05
1974,8080,Gujarat,1,Gujarat,0,NA,storm,1974-0045,22.6903222,71.5884337,-0.05,,,1973,0.2
1974,8420,Madhya Pradesh,1,Madya Pradesh,0,NA,storm,1974-0045,23.54151345,78.28963287,-0.05,,,1972,0.06
1974,8955,West Bengal,1,West Bengal,0,NA,storm,1974-0045,23.81595215,87.98089998,-0.05,,,1971,-0.06
1974,8612,Pashchim Medinipur,2,Midnapore,0,NA,storm,1974-0122,22.4104231,87.26240707,-0.05,,,1970,0.05
1975,29949,Bulandshahr,2,Bulandshar ,0,NA,storm,1975-0052,28.36670229,77.99918678,0.01,,,1969,0.1
1975,7957,Chennai,2,Madras city,0,NA,storm,1975-0058,13.04849576,80.23437074,0.01,,,1968,-0.06
1975,8444,Maharashtra,1,Maharashtra,0,NA,storm,1975-0121,19.44975928,76.10822143,0.01,,,1967,0.01
1975,8081,Gujarat,1,Gujarat,0,NA,storm,1975-0056,22.6903222,71.5884337,0.01,,,1966,-0.03
1975,29947,Bihar,1, Bihar,0,NA,flood,1975-0037,25.67965826,85.6048398,0.01,,,1965,-0.08
1976,8755,South Andaman,2,Little Andaman,0,NA,storm,1976-0147,11.52811011,92.66512369,-0.05,,,1964,-0.17
1976,8377,Krishna,2,Masulipatnam,0,NA,storm,1976-0144,16.55006848,80.79256277,-0.05,,,1963,0.07
1976,8548,Nellore,2,Between Nellore,0,NA,storm,1976-0146,14.43556427,79.72017697,-0.05,,,1962,0.05
1976,8776,Tamil Nadu,1,Madras/Nellore,0,NA,storm,1976-0074,13.45798035,80.25398335,-0.05,,,1961,0.08
1976,8082,Gujarat,1,Gujarat,0,NA,storm,1976-0143,22.6903222,71.5884337,-0.05,,,1960,0
1976,8445,Maharashtra,1,Maharastra,0,NA,storm,1976-0143,19.44975928,76.10822143,-0.05,,,,
1976,7696,Andhra Pradesh,1,Madras/Nellore,0,NA,storm,1976-0074,15.71260766,79.92713851,-0.05,,,,
1976,7829,Baleshwar,2,Balasore district,0,NA,storm,1976-0063,21.4888982,86.90431345,-0.05,,,,
1976,8613,Pashchim Medinipur,2,Midnapore,0,NA,storm,1976-0063,22.4104231,87.26240707,-0.05,,,,
1977,8777,Tamil Nadu,1,Tamil Nadu,0,NA,storm,1977-0133,13.45798035,80.25398335,0.2,,,,
1977,7698,Andhra Pradesh,1,Andhra Pradesh,0,NA,storm,1977-0133,15.71260766,79.92713851,0.2,,,,
1977,8312,Kerala,1,Kerala,0,NA,storm,1977-0133,10.45089774,76.4057486,0.2,,,,
